"comp","age","education","background","tenure","market.val","profits","sales","own.stake","ceo.years","USborn","firm"
1948,55,"Undergraduate degree","technical",23,7.599999905,145,1227,0.00550000012,23,"USA","AdvM"
809,59,"Undergraduate degree","other",38,0.400000006,505,19196,1e-04,0.5,"USA","aetna"
721,53,"Graduate degree","technical",26,1.5,-60,839,0.00100000001,0.5,"USA","aller"
2027,62,"Graduate degree","other",25,3.400000095,806,8379,0.00039999999,5,"other","amer"
2094,63,"Undergraduate degree","operations",41,5.900000095,1166,10818,0.00039999999,8,"USA","ameri"
570,60,"Undergraduate degree","finance",3,0.200000003,49,804,0.00209999993,3,"USA","anchor"
1833,63,"Graduate degree","operations",36,6.300000191,709,17037,0.00039999999,7,"USA","atlan"
1126,64,"Undergraduate degree","operations",28,3.400000095,63,2545,0.00209999993,14,"USA","avery"
1300,50,"Graduate degree","other",2,8.699999809,-35,1412,0.04260000229,2,"USA","bally"
668,62,"Graduate degree","operations",35,2.299999952,-80,3950,0.00270000011,20,"USA","boise"
1082,61,"No college degree","sales",35,9.300000191,-24,2088,0.00620000005,10,"USA","bruns"
597,57,"Graduate degree","other",27,1.399999976,377,2686,0.00029999999,13,"USA","carol"
554,58,"Graduate degree","sales",36,0.899999976,-404,10182,2e-04,2,"USA","catap"
4657,60,"Undergraduate degree","technical",38,316.1000061,1618,11572,0.00589999974,11,"other","coca"
750,59,"No college degree","operations",13,127.9000015,-82,4051,0.07510000229,0.5,"USA","cocaen"
453,64,"Graduate degree","operations",40,54.5,91,872,0.03140000105,26,"USA","consol"
587,55,"Graduate degree","finance",5,1.600000024,-76,2301,0.00170000002,5,"USA","contin"
1019,56,"Graduate degree","operations",30,49.29999924,311,3259,0.00680000007,9,"USA","corning"
541,51,"Graduate degree","sales",17,1,113,862,0.00100000001,12,"USA","cray"
1571,53,"Undergraduate degree","sales",31,4.199999809,301,16115,0.00090000004,9,"USA","dayton"
1331,56,"Graduate degree","sales",33,4.800000191,942,18807,0.00029999999,4,"other","dow"
576,48,"Graduate degree","finance",8,0.300000012,134,1199,2e-04,6,"USA","dqe"
2847,62,"Undergraduate degree","technical",37,3.599999905,584,3817,0.00050000001,10,"USA","duke"
643,65,"Undergraduate degree","operations",29,8.899999619,44,1681,0.00889999986,23,"USA","echlin"
897,56,"Graduate degree","technical",2,1,81,2689,7e-04,5,"USA","eg&g"
1554,61,"Undergraduate degree","sales",41,30.60000038,82,1435,0.02230000019,17,"USA","federal"
766,47,"Graduate degree","finance",21,3.599999905,138,885,0.00140000001,1,"USA","fifth"
439,64,"Graduate degree","finance",39,43,29,492,0.1468999958,35,"USA","first"
1034,51,"Undergraduate degree","sales",23,7,82,578,0.00829999983,3,"USA","first h"
1456,52,"Undergraduate degree","finance",30,6,98,4439,0.00170000002,10,"USA","fleet"
401,64,"Graduate degree","other",15,20.60000038,47,228,0.01659999967,15,"USA","forest"
1158,50,"Graduate degree","operations",4,1.200000048,54,1616,0.00100000001,4,"USA","general"
601,59,"Graduate degree","finance",35,0.100000001,-85,1911,0.00119999997,5,"USA","glenfed"
635,59,"Graduate degree","technical",33,0.800000012,99,3963,0.00119999997,2,"other","grumman"
447,50,"Graduate degree","finance",5,0.300000012,54,1084,0.00029999999,1,"USA","hawaiian"
1652,60,"Graduate degree","technical",34,11.5,856,14949,0.00059999999,14,"USA","hewlitt"
1752,63,"Undergraduate degree","operations",14,534.2000122,249,5137,0.0399000001,14,"USA","homed"
804,55,"No college degree","other",15,10.60000038,25,657,0.0175,10,"USA","horace"
1144,60,"Graduate degree","finance",37,6.900000095,150,4594,0.00370000005,10,"USA","house"
893,60,"Graduate degree","other",36,2,417,4444,0.00039999999,15,"USA","houston"
