"","ID","Age.Cohort","Age","Gender","Expenditures","Ethnicity"
"1",10210,3,17,1,2113,"White"
"2",10409,5,37,2,41924,"White"
"3",10486,1,3,2,1454,"Hispanic"
"4",10538,4,19,1,6400,"Hispanic"
"5",10568,3,13,2,4412,"White"
"6",10690,3,15,1,4566,"Hispanic"
"7",10711,3,13,1,3915,"White"
"8",10778,3,17,2,3873,"Black"
"9",10820,3,14,1,5021,"White"
"10",10823,3,13,2,2887,"Hispanic"
"11",11000,3,13,1,4154,"White"
"12",11024,3,14,2,3048,"Hispanic"
"13",11115,3,15,1,2757,"White"
"14",11189,3,17,2,5340,"Other"
"15",11201,4,20,2,10047,"Hispanic"
"16",11210,5,25,1,34795,"Black"
"17",11379,5,23,1,43025,"White"
"18",11380,5,41,2,54115,"Asian"
"19",11441,1,5,1,1748,"Hispanic"
"20",11466,3,15,1,4515,"Hispanic"
"21",11812,1,5,2,1861,"Hispanic"
"22",11842,1,5,2,1598,"Hispanic"
"23",11922,5,22,1,46571,"Hispanic"
"24",11935,1,3,2,1066,"Hispanic"
"25",12127,3,16,1,3867,"Black"
"26",12137,6,71,1,57928,"White"
"27",12207,3,13,1,4002,"White"
"28",12530,4,18,1,10434,"Asian"
"29",12589,6,63,1,56134,"White"
"30",12834,1,1,2,1070,"White"
"31",12850,3,13,2,3775,"Other"
"32",12990,5,27,1,35284,"White"
"33",13119,4,21,2,7219,"White"
"34",13120,3,14,2,4681,"White"
"35",13195,3,15,1,4629,"Asian"
"36",13621,1,3,1,2750,"White"
"37",13692,3,15,1,3392,"Asian"
"38",13722,3,14,2,5696,"Black"
"39",13826,5,30,1,46660,"White"
"40",14233,2,6,1,2354,"Hispanic"
"41",14367,5,33,2,40781,"White"
"42",14427,2,10,1,2559,"Black"
"43",14520,5,25,1,36428,"White"
"44",14523,1,3,2,674,"Hispanic"
"45",14648,5,26,2,39844,"Asian"
"46",14653,3,17,2,4046,"White"
"47",14665,5,33,2,36184,"White"
"48",14845,3,16,2,4968,"Hispanic"
"49",15034,5,24,2,36901,"White"
"50",15060,6,63,1,50419,"White"
"51",15111,1,1,1,340,"White"
"52",15205,5,24,1,42192,"Black"
"53",15366,6,75,1,49239,"White"
"54",15422,5,27,2,36057,"White"
"55",15448,2,8,1,2895,"Hispanic"
"56",15487,5,24,2,31512,"White"
"57",15778,2,10,1,1915,"Hispanic"
"58",15801,3,16,2,4091,"Hispanic"
"59",15888,3,13,2,4798,"Hispanic"
"60",15970,6,51,1,54267,"White"
"61",16048,2,6,1,1783,"Asian"
"62",16052,3,16,1,3212,"Hispanic"
"63",16306,3,15,1,2029,"White"
"64",16440,5,22,2,37727,"White"
"65",16515,4,20,2,11998,"Hispanic"
"66",16525,5,45,2,50304,"Hispanic"
"67",16981,1,5,1,1130,"Hispanic"
"68",17191,5,24,1,45412,"White"
"69",17276,5,32,2,38310,"Hispanic"
"70",17354,3,13,1,3638,"Hispanic"
"71",17361,6,74,1,54616,"Asian"
"72",17456,5,26,1,30504,"Asian"
"73",17604,4,19,2,7621,"Hispanic"
"74",17605,4,18,2,13677,"White"
"75",17744,2,6,1,1423,"Hispanic"
"76",17799,3,17,1,4395,"Hispanic"
"77",18015,5,29,2,38236,"White"
"78",18057,3,17,2,6798,"White"
"79",18080,3,13,1,4052,"White"
"80",18095,5,48,1,49424,"White"
"81",18127,5,34,1,39521,"Hispanic"
"82",18223,2,9,1,2471,"Asian"
"83",18262,4,18,2,15018,"Hispanic"
"84",18313,3,16,2,2924,"White"
"85",18383,1,0,2,1149,"Other"
"86",18421,3,15,1,4525,"Hispanic"
"87",18482,3,16,2,3796,"Hispanic"
"88",18492,4,18,1,8730,"Black"
"89",18655,5,28,2,37247,"Black"
"90",18656,5,28,1,31027,"White"
"91",18671,5,22,2,27364,"White"
"92",18749,5,27,1,30998,"White"
"93",18867,6,66,1,49851,"Asian"
"94",18894,1,3,2,1057,"White"
"95",19107,5,22,2,42623,"White"
"96",19147,1,1,2,1363,"Hispanic"
"97",19148,3,13,1,5324,"Black"
"98",19228,5,22,2,46513,"Black"
"99",19247,3,15,1,2521,"White"
"100",19250,6,94,1,60871,"Hispanic"
"101",19251,5,41,1,42139,"White"
"102",19290,1,5,2,1713,"Hispanic"
"103",19373,2,6,1,1814,"Asian"
"104",19412,6,60,1,57702,"White"
"105",19510,5,23,1,36607,"White"
"106",19517,5,36,2,29144,"White"
"107",19571,4,21,1,7193,"White"
"108",19661,5,23,1,49028,"Hispanic"
"109",19662,6,80,1,54309,"White"
"110",19663,2,6,1,987,"White"
"111",19825,5,25,1,41107,"White"
"112",19917,1,0,2,904,"White"
"113",20057,6,65,1,56752,"White"
"114",20073,1,4,1,1977,"Hispanic"
"115",20380,2,12,1,3450,"Hispanic"
"116",20641,4,19,2,10716,"White"
"117",20810,4,20,2,9161,"Hispanic"
"118",20832,2,12,1,3007,"Hispanic"
"119",20872,5,33,2,34558,"White"
"120",20876,3,15,2,3269,"Hispanic"
"121",20918,5,24,1,40980,"Hispanic"
"122",20976,1,4,2,1196,"Hispanic"
"123",20984,4,18,2,4814,"Black"
"124",21140,1,5,2,1997,"White"
"125",21158,5,24,1,51149,"Hispanic"
"126",21167,4,18,1,11038,"Hispanic"
"127",21296,4,21,2,3988,"Asian"
"128",21305,4,18,1,12306,"White"
"129",21351,4,19,1,12649,"Hispanic"
"130",21503,5,24,2,37416,"White"
"131",21585,2,11,1,2664,"Hispanic"
"132",21591,6,66,1,59926,"Hispanic"
"133",21742,4,20,1,10696,"Asian"
"134",22056,4,19,2,9972,"Hispanic"
"135",22124,3,14,1,5920,"Hispanic"
"136",22125,1,5,2,2549,"Hispanic"
"137",22446,3,17,2,2686,"Hispanic"
"138",22534,5,34,1,40277,"Hispanic"
"139",22541,5,27,1,42702,"White"
"140",22682,5,37,1,42455,"White"
"141",22697,3,13,2,4097,"Hispanic"
"142",22700,1,4,2,1957,"Hispanic"
"143",22764,1,5,2,1646,"Hispanic"
"144",22879,1,4,2,1525,"Hispanic"
"145",22964,1,4,2,1294,"Hispanic"
"146",22988,3,16,2,4664,"Other"
"147",23032,5,22,2,43292,"White"
"148",23450,3,16,1,1432,"Asian"
"149",23493,1,0,2,1435,"Hispanic"
"150",23505,1,4,2,1631,"White"
"151",23559,4,20,2,8687,"Black"
"152",23617,4,19,1,8096,"Hispanic"
"153",23651,1,3,2,1123,"Hispanic"
"154",23861,6,77,1,55015,"Asian"
"155",23890,1,4,2,1644,"White"
"156",23915,3,17,1,3678,"Hispanic"
"157",24042,4,18,2,8999,"White"
"158",24078,3,16,2,1740,"Hispanic"
"159",24128,4,21,1,15176,"Hispanic"
"160",24171,5,35,2,27417,"White"
"161",24270,4,18,1,9078,"White"
"162",24341,2,9,1,1963,"Hispanic"
"163",24510,3,15,2,4670,"Hispanic"
"164",24545,1,4,2,2553,"White"
"165",24617,3,14,2,3394,"Hispanic"
"166",24635,1,0,1,995,"Hispanic"
"167",24731,1,0,1,1068,"White"
"168",24786,3,15,2,4818,"White"
"169",24838,1,2,2,650,"White"
"170",24847,4,21,1,15179,"White"
"171",24850,4,21,1,16237,"Hispanic"
"172",24895,5,27,1,47242,"White"
"173",24959,6,82,1,58922,"White"
"174",25000,4,21,2,9592,"Hispanic"
"175",25184,4,21,2,10008,"White"
"176",25281,5,28,1,42346,"White"
"177",25300,2,6,1,2119,"Hispanic"
"178",25321,5,40,2,42840,"White"
"179",25370,4,19,1,10292,"Hispanic"
"180",25457,3,16,1,3501,"Hispanic"
"181",25575,5,23,2,40992,"White"
"182",25613,1,0,2,741,"Hispanic"
"183",25649,5,42,2,37916,"White"
"184",25743,2,11,1,1339,"White"
"185",25747,6,74,1,54266,"White"
"186",25765,1,4,2,1016,"Hispanic"
"187",26071,2,6,1,1582,"Hispanic"
"188",26099,4,20,2,13345,"Asian"
"189",26169,5,33,1,47204,"White"
"190",26423,3,17,2,4723,"Hispanic"
"191",26427,3,13,2,2460,"Hispanic"
"192",26437,1,0,2,2296,"Other"
"193",26457,3,16,1,5718,"Hispanic"
"194",26648,4,21,1,7571,"Asian"
"195",27029,4,18,2,7207,"Asian"
"196",27031,1,4,2,1028,"Hispanic"
"197",27150,2,12,1,3141,"Hispanic"
"198",27311,3,17,2,4556,"White"
"199",27356,5,25,1,49142,"White"
"200",27484,2,11,2,3585,"Hispanic"
"201",27547,2,7,1,2039,"Hispanic"
"202",27561,2,12,1,2431,"White"
"203",27824,2,11,2,1024,"White"
"204",27921,5,22,1,43858,"Hispanic"
"205",28013,1,1,2,762,"Hispanic"
"206",28053,6,62,1,49749,"White"
"207",28066,4,20,2,7081,"Hispanic"
"208",28083,1,5,1,2291,"Hispanic"
"209",28085,2,9,1,3374,"White"
"210",28189,1,4,2,2359,"Hispanic"
"211",28384,5,33,1,40809,"Hispanic"
"212",28469,1,4,2,2211,"Hispanic"
"213",28502,4,19,2,11527,"Hispanic"
