"title","audience_score","genre","studio","runtime","mpaa_rating","rel_year","rel_month","rel_day","critics_rating","critics_score","rt_num_votes","imdb_num_votes","imdb_avg_score","budget","best_dir_win","best_actor_win","director","actor1","actor2","actor3","actor4","actor5"
"Feast of the Seven Fishes",93,"Comedy","Other",99,"NR",2019,11,15,"Fresh",88,59,422,6.6,2e+07,0,0,"Robert Tinnell","Madison Iseman"," Josh Helman"," Addison Timlin"," Ray Abruzzo"," Lynn Cohen"
"Treasure Planet",72,"Action & Adventure","Other",95,"PG",2002,11,27,"Fresh",69,68350,99484,7.2,1.4e+08,0,0,"Ron Clements","Joseph Gordon-Levitt"," Brian Murray"," Emma Thompson"," David Hyde Pierce"," Martin Short"
"Desperate Measures",37,"Action & Adventure","Sony Pictures",100,"R",1997,6,1,"Rotten",19,12151,15645,6.1,5e+07,0,0,"Barbet Schroeder","Michael Keaton"," Andy Garcia"," Brian Cox"," Marcia Gay Harden"," Erik King"
"Strange Magic",52,"Animation","Walt Disney Studios",99,"PG",2015,1,23,"Rotten",16,12276,9899,5.8,NA,0,0,"Gary Rydstrom","Maya Rudolph"," Meredith Ann Bull"," Evan Rachel Wood"," Kevin Scott Richardson"," Llou Johnson"
"The Bad Batch",30,"Drama","Other",118,"R",2017,6,23,"Rotten",47,2868,25417,5.3,6e+06,0,0,"Ana Lily Amirpour","Suki Waterhouse"," Jason Momoa"," Giovanni Ribisi"," Keanu Reeves"," Yolonda Ross"
"Freaks",86,"Horror","Unknown",105,"R",2019,9,13,"Certified-Fresh",88,152,41173,7.9,310607,0,0,"Zach Lipovsky","Emile Hirsch"," Bruce Dern"," Grace Park"," Amanda Crew"," Lexy Kolker"
"Woodlawn",81,"Drama","Other",123,"PG",2015,10,16,"Fresh",73,9840,6528,6.5,1.2e+07,0,0,"Jon Erwin","Sean Astin"," Nicholas Bishop"," Caleb Castille"," Sherri Shepherd"," Jon Voight"
"Delirious",57,"Comedy","Other",107,"NR",2007,8,15,"Certified-Fresh",83,8464,7605,5.9,1.8e+07,0,0,"Tom DiCillo","Steve Buscemi"," Michael Pitt"," Alison Lohman"," Gina Gershon"," Callie Thorne"
"Little Sister",56,"Comedy","Other",91,"NR",2016,10,14,"Fresh",94,555,285,5.5,5e+06,0,0,"Zach Clark","Addison Timlin"," Ally Sheedy"," Keith Poulson"," Barbara Crampton"," Peter Hedges"
"Dracula 2000",39,"Horror","Other",99,"R",2000,12,22,"Rotten",17,69959,31598,4.9,5.4e+07,0,0,"Patrick Lussier","Justine Waddell"," Gerard Butler"," Jonny Lee Miller"," Jennifer Esposito"," Danny Masterson"
"Cocaine Cowboys",79,"Documentary","Magnolia Pictures",116,"R",2006,10,27,"Fresh",69,77110,191,2.9,NA,0,0,"Billy Corben","Jon Roberts"," Mickey Munday"," Jorge ""Rivi"" Ayala"," Dr. Joseph Davis"," Sgt. Al Singleton"
"Grace Unplugged",78,"Drama","Roadside Attractions",102,"PG",2013,10,4,"Rotten",50,3579,3204,6.1,NA,0,0,"Brad J. Silverman","Amanda Michalka"," James Denton"," Kevin Pollak"," Shawnee Smith"," Michael Welch"
"Sarah Landon and the Paranormal Hour",25,"Kids & Family","Freestyle Releasing",81,"PG",2007,10,19,"Rotten",0,820,656,3.7,NA,0,0,"Lisa Comrie","Rissa Walters"," Brian Comrie"," Dan Comrie"," Jane Harris"," Alessandra Danielle"
"Monsters, Inc.",90,"Animation","Walt Disney Studios",92,"G",2001,11,2,"Certified-Fresh",96,1254638,794964,8,1.15e+08,0,0,"Pete Docter","John Goodman"," Billy Crystal"," Mary Gibbs"," Steve Buscemi"," James Coburn"
"The Pyramid",21,"Drama","20th Century Fox",88,"R",2014,12,5,"Rotten",14,13810,111,4.6,NA,0,0,"Grégory Levasseur","Ashley Grace"," James Buckley (II)"," Denis O'Hare"," Christa Nicola"," Amir Kamyab"
